"ArticleUrl";"Type";"Title";"Intro";"Heading";"PublishDate";"Style";"IsPlus";"filename"
"https://www.spiegel.de/familie/gleichstellung-wenn-schwule-maenner-kinder-kriegen-a-e8b6dcac-2d1a-4b7f-bf68-18fff912cdda";"highlight";"Wenn schwule Männer Kinder kriegen";"Eine fremde Frau spendete die Eizelle, eine weitere trug das Baby aus - und jetzt sind Tobias und Dennis Devooght Papas. Wie schwierig war der Weg dahin, und wie geht es der Familie jetzt?";"Gleichstellung";2020-07-12 15:08:11;"default";FALSE;"no140_highlight_free_2020-07-12H15-08-11.png"
"https://www.spiegel.de/politik/deutschland/migration-nach-europa-schluss-mit-der-asyllotterie-a-42c9b88e-4049-4185-a996-c76fc3e74b71";"opinion";"Schluss mit der Asyllotterie";"Die Flüchtlingspolitik der EU ist beschämend konzeptlos. Wenn Deutschland im Juli die Ratspräsidentschaft übernimmt, sollte es endlich eine echte gemeinsame Asylpolitik vorantreiben.";"Migration nach Europa";2020-06-28 07:14:04;"default";FALSE;"no141_opinion_free_2020-06-28H07-14-04.png"
"https://www.spiegel.de/bento/sucht-ist-keine-freie-wahl-a-f1c4824d-88f4-4008-bc10-901c0ec92dae";"news";"\"\"Sucht ist keine freie Wahl\"\"";"Das Verständnis für psychische Erkrankungen wächst. Doch gerade Suchtkranke kämpfen noch immer mit vielen Vorurteilen, gelten als willensschwach und unzuverlässig. Ihre Heilung erschwert das.";"Stigmatisierung von Abhängigen";2020-07-12 05:49:48;"default";FALSE;"no142_news_free_2020-07-12H05-49-48.png"
"https://www.spiegel.de/stil/rem-koolhaas-und-friedensreich-hundertwasser-ideen-fuer-nachhaltige-architektur-a-ca618de2-38f2-4316-953f-b86a4230b181";"highlight";"Der Ein-Mann-Aktivismus";"Zwei Baumeister, zwei Bücher, ein Thema: Wie das Grüne ins Zentrum ihres Schaffens gehört, beantworten Friedensreich Hundertwasser und Rem Koolhaas grundverschieden. Einer ist seiner Zeit weit voraus.";"Grüne Architektur";2020-05-02 07:59:37;"default";FALSE;"no143_highlight_free_2020-05-02H07-59-37.png"
"https://www.spiegel.de/stil/thierry-mugler-ausstellung-in-muenchen-weiblichkeit-als-waffe-a-81458e29-4d7e-4070-b24b-7f69111a0612";"highlight";"Weiblichkeit als Waffe";"Künstler, Kunstschmied, Couturier: Die Münchner Ausstellung \"\"Thierry Mugler: Couturissime\"\" entführt in den Modekosmos eines kreativen Berserkers, dessen Gestaltungswille nicht mal vor ihm selbst Halt macht.";"Thierry-Mugler-Ausstellung in München";2020-05-30 20:12:00;"default";FALSE;"no144_highlight_free_2020-05-30H20-12-00.png"
"https://www.spiegel.de/sport/fussball/formel-1-ferrari-implodiert-beim-grossen-preis-der-steiermark-pressestimmen-a-1868f707-c471-4361-8b87-5965688a813d";"news";"\"\"Ferrari implodiert\"\"";"Auch beim zweiten Saisonrennen in Österreich erlebte Ferrari ein \"\"Fiasko\"\". Die Reaktionen der internationalen Presse zum Ausfall von Sebastian Vettel und Charles Leclerc sind vernichtend.";"Pressestimmen zum Großen Preis der Steiermark";2020-07-13 07:39:12;"default";FALSE;"no145_news_free_2020-07-13H07-39-12.png"
"https://www.spiegel.de/netzwelt/web/donald-trump-seine-strategien-fuer-den-staatsstreich-kolumne-a-ab1efdca-874c-4af9-9a02-2241be3467c1";"opinion";"Donald Trumps Strategien für den Staatsstreich";"Sollte er die Wahl im November verlieren, wird Donald Trump das Ergebnis wohl nicht anerkennen. Niemand wird ihn an einem Staatsstreich hindern können, dafür sorgen er und seine Verbündeten seit Langem vor.";"US-Wahl 2020";2020-06-03 14:36:48;"default";FALSE;"no146_opinion_free_2020-06-03H14-36-48.png"
"https://www.spiegel.de/familie/vatertag-auch-fuer-muetter-was-frauen-sich-verdient-haben-die-midlife-kolumne-a-f5d1db40-559a-4a2d-837d-c2cce34f1ef8";"opinion";"Himmelfahrtskommando";"Am Muttertag gibt es einen Gutschein für \"\"1 x Putzen\"\", am Vatertag Alkohol. Wenn schon überholte Rituale: Sollten Männer und Frauen nicht einfach mal tauschen?";"Alter! – Die Midlife-Kolumne";2020-05-19 12:47:32;"default";FALSE;"no147_opinion_free_2020-05-19H12-47-32.png"
"https://www.spiegel.de/stil/tipps-fuer-mehr-platz-in-der-wohnung-wenn-das-home-zum-office-wird-a-4855e6cb-f4b1-480a-9b5d-014821a7aa21";"highlight";"Wenn das Home zum Office wird";"Der erste Schritt für Platz in der Wohnung? Aufräumen. Doch ist das einmal erledigt, geht noch mehr. Hier verraten drei Innenarchitekten, wie sie mit Licht, Farben und Möbeln arbeiten.";"Tipps für mehr Platz in der Wohnung";2020-06-02 17:48:58;"default";FALSE;"no148_highlight_free_2020-06-02H17-48-58.png"
"https://www.spiegel.de/stil/rezept-fuer-schweinebraten-a-la-moutarde-a-1c4548fe-fb9e-45f0-a3f2-4d8aeaa6032a";"highlight";"Am Wochenende gibt es Schweinebraten à la moutarde";"Der Samstags- oder Sonntagsbraten von unserer Köchin Verena Lugert ist eine bayerisch-französische Kombination. Klingt kompliziert? Ist es aber nicht. Das meiste passiert im Topf von ganz allein.";"Nervennahrung";2020-05-16 08:40:38;"default";FALSE;"no149_highlight_free_2020-05-16H08-40-38.png"
